Place id,Governorate,District,Location name,Arabic name,Latitude,Longitude,OCHA admin 1,OCHA admin 2,OCHA PCode,IDPs families,IDPs individuals,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salah al-Din,Sulaymaniyah,Thi-Qar,Wassit,Camp,Host families,Hotel/Motel,Informal settlements,Other shelter type,Religious building,Rented houses,School building,Unfinished/Abandoned building,Unknown shelter type,Pre-June14 Wave,June-July14 Wave,August14 Wave,Post September14 Wave,Post April15 Wave
23792,Anbar,Al-Ka'im,Al Angaa,?? ???????,34.383198,41.052623,IQ-G01,IQ-D005,IQ-P00353,34,204,34,,,,,,,,,,,,,,,,,,,13,,,,,21,,,,34,,,,
23647,Anbar,Al-Ka'im,Al Aubaidi Al Qadima,??????? ??????? ,34.421411,41.202051,IQ-G01,IQ-D005,IQ-P00354,161,966,161,,,,,,,,,,,,,,,,,,,35,,17,,,67,14,28,,161,,,,
23791,Anbar,Al-Ka'im,Al Nahda Al-Sharqiyah,?? ?????? ???????,34.372736,41.057071,IQ-G01,IQ-D005,IQ-P00358,60,360,60,,,,,,,,,,,,,,,,,,,24,,,,,36,,,,55,,,5,
23795,Anbar,Al-Ka'im,Al Rumanah Al Gharbiyah,?? ??????? ???????,34.416826,41.04717,IQ-G01,IQ-D005,IQ-P00361,67,402,67,,,,,,,,,,,,,,,,,,,30,,,,,37,,,,59,,,8,
23796,Anbar,Al-Ka'im,Al Rumanah Al Sharqiyah,?? ??????? ???????,34.398681,41.098951,IQ-G01,IQ-D005,IQ-P00362,79,474,79,,,,,,,,,,,,,,,,,,,34,,,,,32,,13,,72,,,7,
90,Anbar,Al-Ka'im,Al Ubaydi-1,??????? - ????? ????,34.433344,41.225392,IQ-G01,IQ-D005,IQ-P00349,166,996,166,,,,,,,,,,,,,,,,,,,83,,12,,,71,,,,154,,,12,
23797,Anbar,Al-Ka'im,Al Ubaydi-2,????? ??????? ,34.433783,41.234615,IQ-G01,IQ-D005,IQ-P00350,210,"1,260",210,,,,,,,,,,,,,,,,,,,112,,2,,,85,,11,,210,,,,
164,Anbar,Al-Ka'im,Al Ubaydi-3,??????? - ????? ?????,34.437885,41.232835,IQ-G01,IQ-D005,IQ-P00351,164,984,164,,,,,,,,,,,,,,,,,,,41,,23,,,70,30,,,164,,,,
23798,Anbar,Al-Ka'im,Al Ubaydi-Smnt,?????? ?????? ????? ???? ??????,34.261988,41.221688,IQ-G01,IQ-D005,IQ-P00352,136,816,136,,,,,,,,,,,,,,,,,,,63,,,,,73,,,,136,,,,
21477,Anbar,Al-Ka'im,Al Zalla,???? ?????,34.421179,41.455566,IQ-G01,IQ-D005,IQ-P00365,65,390,65,,,,,,,,,,,,,,,,,,,46,,8,,,,,11,,65,,,,
106,Anbar,Al-Ka'im,Al-Amen,?? ??????,34.382264,41.005731,IQ-G01,IQ-D005,IQ-P00367,105,630,105,,,,,,,,,,,,,,,,,,,38,,,,,51,,16,,,95,,10,
273,Anbar,Al-Ka'im,Albu Hardan,???? ?????????,34.392953,41.078284,IQ-G01,IQ-D005,IQ-P00368,5,30,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,
275,Anbar,Al-Ka'im,Albu Ubaid,???? ????????,34.411641,41.050339,IQ-G01,IQ-D005,IQ-P00369,27,162,27,,,,,,,,,,,,,,,,,,,16,,,,,11,,,,27,,,,
274,Anbar,Al-Ka'im,Al-Rabet,???? ?????,34.423677,41.036415,IQ-G01,IQ-D005,IQ-P00370,37,222,37,,,,,,,,,,,,,,,,,,,11,,,,,26,,,,,37,,,
271,Anbar,Al-Ka'im,Door Al-Sikak,?? ?????,34.388794,40.973572,IQ-G01,IQ-D005,IQ-P00374,72,432,72,,,,,,,,,,,,,,,,,,,32,,,,,40,,,,,62,,10,
272,Anbar,Al-Ka'im,Hay 12 Rabee Alawal,?? 12???? ?????,34.392991,40.981134,IQ-G01,IQ-D005,IQ-P00375,119,714,109,,10,,,,,,,,,,,,,,,,,81,,,,,38,,,,103,10,,6,
23793,Anbar,Al-Ka'im,Hay Al Askary,?? ???????,34.38469,41.031804,IQ-G01,IQ-D005,IQ-P00376,33,198,33,,,,,,,,,,,,,,,,,,,16,,,,,17,,,,28,,,5,
23788,Anbar,Al-Ka'im,Hay Al Rashid,?? ??????,34.392969,40.984309,IQ-G01,IQ-D005,IQ-P00377,85,510,85,,,,,,,,,,,,,,,,,,,47,,,,,38,,,,77,,,8,
23787,Anbar,Al-Ka'im,Hay Al Sham,?? ????? ( ??????? ),34.394981,40.988816,IQ-G01,IQ-D005,IQ-P00378,77,462,77,,,,,,,,,,,,,,,,,,,52,,,,,25,,,,77,,,,
23790,Anbar,Al-Ka'im,Hay Al Shuhadaa,?? ???????,34.374748,41.062559,IQ-G01,IQ-D005,IQ-P00379,106,636,106,,,,,,,,,,,,,,,,,,,47,,,,,59,,,,,99,,7,
23794,Anbar,Al-Ka'im,Hay Al Sinay,?? ???????,34.380503,41.035056,IQ-G01,IQ-D005,IQ-P00380,74,444,74,,,,,,,,,,,,,,,,,,,29,,,,,45,,,,69,,,5,
276,Anbar,Al-Ka'im,Hay Al-Andalus,?? ???????,34.39097,40.9897,IQ-G01,IQ-D005,IQ-P00382,153,918,153,,,,,,,,,,,,,,,,,,,102,,,,,51,,,,,100,,53,
286,Anbar,Al-Ka'im,Hay Al-Athar,?? ??????,34.377071,41.066633,IQ-G01,IQ-D005,IQ-P00383,55,330,55,,,,,,,,,,,,,,,,,,,26,,,,,29,,,,50,,,5,
279,Anbar,Al-Ka'im,Hay Al-Farooq,?? ???????,34.396212,41.002968,IQ-G01,IQ-D005,IQ-P00384,61,366,61,,,,,,,,,,,,,,,,,,,29,,,,,32,,,,54,,,7,
277,Anbar,Al-Ka'im,Hay Al-Maamon,?? ???????,34.392414,41.004368,IQ-G01,IQ-D005,IQ-P00387,111,666,111,,,,,,,,,,,,,,,,,,,50,,,,,61,,,,86,,,25,
287,Anbar,Al-Ka'im,Hay Al-Makarim,?? ???????,34.383073,41.028504,IQ-G01,IQ-D005,IQ-P00388,56,336,56,,,,,,,,,,,,,,,,,,,31,,,,,25,,,,56,,,,
268,Anbar,Al-Ka'im,Hay Al-Salam,?? ??????,34.392349,40.996698,IQ-G01,IQ-D005,IQ-P00390,82,492,82,,,,,,,,,,,,,,,,,,,53,,5,,,24,,,,74,,,8,
269,Anbar,Al-Ka'im,Hay Al-Yarmook,?? ???????,34.39801,40.992723,IQ-G01,IQ-D005,IQ-P00391,96,576,96,,,,,,,,,,,,,,,,,,,53,,,,,43,,,,88,,,8,
66,Anbar,Al-Ka'im,Sadah,???? ????,34.363896,41.097367,IQ-G01,IQ-D005,IQ-P00398,62,372,62,,,,,,,,,,,,,,,,,,,20,,,,,20,,22,,62,,,,
156,Anbar,Al-Ka'im,Wazeeriya,?? ????????,34.37709,41.046541,IQ-G01,IQ-D005,IQ-P00401,60,360,60,,,,,,,,,,,,,,,,,,,27,,,,,33,,,,60,,,,
165,Anbar,Al-Rutba,Al Askaree,?? ???????,33.038952,40.277075,IQ-G01,IQ-D007,IQ-P00503,361,"2,166",361,,,,,,,,,,,,,,,,,,,221,,25,,,104,,11,,260,,,101,
150,Anbar,Al-Rutba,Al Haara,?? ??????,33.038459,40.293291,IQ-G01,IQ-D007,IQ-P00504,368,"2,208",368,,,,,,,,,,,,,,,,,,,155,,13,,12,182,,6,,331,,,37,
24744,Anbar,Al-Rutba,Al Habaria,????????,32.165701,42.122835,IQ-G01,IQ-D007,,211,"1,266",211,,,,,,,,,,,,,,,,,,,166,,,,12,,18,15,,,,,211,
24745,Anbar,Al-Rutba,Al kasra,??????,32.273109,42.050932,IQ-G01,IQ-D007,,154,924,154,,,,,,,,,,,,,,,,,,,122,,,,10,,22,,,,,,154,
61,Anbar,Al-Rutba,Al Nakheeb,??????,32.042733,42.252977,IQ-G01,IQ-D007,IQ-P00523,"1,046","6,276","1,046",,,,,,,,,,,,,,,,,,,693,,122,,28,,60,143,,285,,,761,
231,Anbar,Al-Rutba,Al Wadi,?? ??????,33.036414,40.284369,IQ-G01,IQ-D007,IQ-P00505,271,"1,626",271,,,,,,,,,,,,,,,,,,,108,,35,,,109,8,11,,265,,,6,
23935,Anbar,Al-Rutba,Al-Daraemah Village,???? ????????,33.038586,40.285558,IQ-G01,IQ-D007,IQ-P00509,312,"1,872",312,,,,,,,,,,,,,,,,,,,52,,8,,5,81,,166,,312,,,,
167,Anbar,Al-Rutba,Antesar,?? ????????,33.041954,40.27598,IQ-G01,IQ-D007,IQ-P00513,417,"2,502",397,,20,,,,,,,,,,,,,,,,,72,,130,,3,173,28,11,,387,20,,10,
189,Anbar,Al-Rutba,Germany Company Location,???? ?????? ?????????,33.042615,40.341484,IQ-G01,IQ-D007,IQ-P00516,76,456,76,,,,,,,,,,,,,,,,,,,,,76,,,,,,,76,,,,
23888,Anbar,Al-Rutba,Gharb Al-Wadi,?? ??? ??????,33.037021,40.279731,IQ-G01,IQ-D007,IQ-P00517,455,"2,730",455,,,,,,,,,,,,,,,,,,,131,,48,,,204,12,60,,444,,,11,
24761,Anbar,Al-Rutba,Hay Abira,?? ?????,32.764845,43.38883,IQ-G01,IQ-D007,,315,"1,890",315,,,,,,,,,,,,,,,,,,,219,,,,,,44,52,,170,,,43,102
24762,Anbar,Al-Rutba,Hay Al Arben,?? ????????,32.766504,43.387747,IQ-G01,IQ-D007,,130,780,130,,,,,,,,,,,,,,,,,,,77,,,,,,36,17,,105,,,7,18
166,Anbar,Al-Rutba,Hay Al Meethagh,?? ???????,33.039801,40.282946,IQ-G01,IQ-D007,IQ-P00521,458,"2,748",458,,,,,,,,,,,,,,,,,,,152,,69,,40,152,,45,,450,,,8,
24763,Anbar,Al-Rutba,Hay Al-Dour,?? ?????,32.764319,43.386783,IQ-G01,IQ-D007,,137,822,137,,,,,,,,,,,,,,,,,,,92,,,,,,45,,,100,,,7,30
233,Anbar,Al-Rutba,Hay Al-Matar,?? ??????,33.038566,40.285538,IQ-G01,IQ-D007,IQ-P00518,422,"2,532",372,,50,,,,,,,,,,,,,,,,,156,,17,,3,172,23,51,,364,50,,8,
24767,Anbar,Al-Rutba,Hay Al-Qasar,?? ?????,32.764233,43.389342,IQ-G01,IQ-D007,,249,"1,494",249,,,,,,,,,,,,,,,,,,,174,,,,,,40,35,,135,,,8,106
24764,Anbar,Al-Rutba,Hay Al-Shoqaq,?? ?????,32.767707,43.388324,IQ-G01,IQ-D007,,119,714,119,,,,,,,,,,,,,,,,,,,77,,,,,,42,,,100,,,9,10
24765,Anbar,Al-Rutba,Hay Al-Uwenah,?? ???????,32.764039,43.387411,IQ-G01,IQ-D007,,326,"1,956",326,,,,,,,,,,,,,,,,,,,266,,,,,,22,38,,145,,,10,171
24768,Anbar,Al-Rutba,Hay Makina Aboud,?? ????? ????,32.766297,43.389149,IQ-G01,IQ-D007,,100,600,100,,,,,,,,,,,,,,,,,,,75,,,,,,25,,,,,,66,34
23936,Anbar,Al-Rutba,Rumilah Village,???? ?????,33.036434,40.284389,IQ-G01,IQ-D007,IQ-P00524,203,"1,218",203,,,,,,,,,,,,,,,,,,,62,,,,,47,9,85,,203,,,,
248,Anbar,Ana,Al bor (Shishan),?? ??????,34.369352,41.977818,IQ-G01,IQ-D001,IQ-P00001,242,"1,452",242,,,,,,,,,,,,,,,,,,,72,,,,,170,,,,235,,,7,
246,Anbar,Ana,Al maadid,????????,34.226544,42.145227,IQ-G01,IQ-D001,IQ-P00002,226,"1,356",226,,,,,,,,,,,,,,,,,,,84,,38,,,104,,,,215,,,11,
252,Anbar,Ana,Al Tadamon,?? ???????,34.367327,41.97249,IQ-G01,IQ-D001,IQ-P00003,337,"2,022",337,,,,,,,,,,,,,,,,,,,98,,,,,178,4,57,,329,,,8,
23937,Anbar,Ana,Al-Awany Village,???? ???????,34.466435,41.738821,IQ-G01,IQ-D001,IQ-P00004,30,180,30,,,,,,,,,,,,,,,,,,,21,,,,,6,,3,,20,,,10,
250,Anbar,Ana,Hay Al Nasir,?? ?????,34.366033,41.990583,IQ-G01,IQ-D001,IQ-P00009,414,"2,484",414,,,,,,,,,,,,,,,,,,,212,,,,,194,8,,,304,,,110,
251,Anbar,Ana,Hay Al Qadissiyah,?? ????????,34.376623,41.980873,IQ-G01,IQ-D001,IQ-P00010,294,"1,764",294,,,,,,,,,,,,,,,,,,,122,,,,,164,8,,,289,,,5,
253,Anbar,Ana,Hay Al Salam,?? ??????,34.3645,41.980244,IQ-G01,IQ-D001,IQ-P00011,252,"1,512",252,,,,,,,,,,,,,,,,,,,93,,35,,,110,,14,,247,,,5,
249,Anbar,Ana,Hay Al Tammem,?? ???????,34.369383,41.991556,IQ-G01,IQ-D001,IQ-P00012,241,"1,446",241,,,,,,,,,,,,,,,,,,,143,,,,,91,7,,,171,,,70,
23799,Anbar,Ana,Hay Al ZeraI,?? ???????,34.367453,41.99924,IQ-G01,IQ-D001,IQ-P00013,10,60,10,,,,,,,,,,,,,,,,,,,7,,3,,,,,,,3,,,7,
247,Anbar,Ana,Rayhana,???? ????????,34.340626,42.029125,IQ-G01,IQ-D001,IQ-P00018,132,792,132,,,,,,,,,,,,,,,,,,,62,,,,,52,,18,,125,,,7,
109,Anbar,Ana,Yarmouk,?? ???????,34.373336,41.987463,IQ-G01,IQ-D001,IQ-P00019,214,"1,284",214,,,,,,,,,,,,,,,,,,,88,,2,,,117,7,,,205,,,9,
24766,Anbar,Falluja,Al Abbah,?????,33.40838,43.915799,IQ-G01,IQ-D002,,60,360,60,,,,,,,,,,,,,,,,,,,40,,,,,,20,,,,,,60,
107,Anbar,Falluja,Al Amiriyah,???????? ,33.178968,43.858219,IQ-G01,IQ-D002,IQ-P00024,"2,664","15,984","2,664",,,,,,,,,,,,,,,,,,,739,,"1,734",,18,50,23,100,,279,,,50,"2,335"
20781,Anbar,Falluja,Al Dawayah village,???????,33.419756,43.859094,IQ-G01,IQ-D002,IQ-P00029,350,"2,100",350,,,,,,,,,,,,,,,,,,,223,,10,,,27,40,50,,343,,,7,
22133,Anbar,Falluja,Al Husaiwat,???????? ,33.403487,43.89684,IQ-G01,IQ-D002,IQ-P00031,235,"1,410",235,,,,,,,,,,,,,,,,,,,171,,,,,19,24,21,,220,,,15,
22864,Anbar,Falluja,Al Husi,?????,33.279703,43.795607,IQ-G01,IQ-D002,IQ-P00032,283,"1,698",283,,,,,,,,,,,,,,,,,,,178,,,,,19,40,46,,190,,,7,86
21742,Anbar,Falluja,Al jdawil (qnatir),??????? ( ??????? ) ,33.434659,43.963735,IQ-G01,IQ-D002,IQ-P00033,177,"1,062",177,,,,,,,,,,,,,,,,,,,115,,,,,27,16,19,,168,,,9,
23276,Anbar,Falluja,Al Madina Al Siyahiya,??????? ???????? ,33.244907,43.571611,IQ-G01,IQ-D002,IQ-P00037,"6,089","36,534","6,089",,,,,,,,,,,,,,,,,,,,,"5,730",,,150,40,169,,310,,,,"5,779"
122,Anbar,Falluja,Al Mualmeen,?? ???????? ,33.35,44,IQ-G01,IQ-D002,IQ-P00039,45,270,45,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,45
21556,Anbar,Falluja,Al Shuhadaa 2,??????? ??????? ,33.399199,43.69385,IQ-G01,IQ-D002,IQ-P00047,20,120,20,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,20
169,Anbar,Falluja,Al Shurta,?? ??????,33.356333,44,IQ-G01,IQ-D002,IQ-P00048,867,"5,202",867,,,,,,,,,,,,,,,,,,,867,,,,,,,,,,,,,867
207,Anbar,Falluja,Al-Akrad,?? ???????,33.34534,44,IQ-G01,IQ-D002,IQ-P00053,201,"1,206",201,,,,,,,,,,,,,,,,,,,201,,,,,,,,,,,,,201
26035,Anbar,Falluja,Al-Amirya-Al Abar,??????,33.10345189,43.79992835,IQ-G01,IQ-D002,,400,"2,400",400,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,400
26084,Anbar,Falluja,Al-Amirya-Al Betra,??????,33.12157396,44.04085934,IQ-G01,IQ-D002,,470,"2,820",470,,,,,,,,,,,,,,,,,,,170,,300,,,,,,,,,,,470
26091,Anbar,Falluja,Al-Amirya-Al Hmedin,????????,33.15822868,43.93685111,IQ-G01,IQ-D002,,240,"1,440",240,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,240
26092,Anbar,Falluja,Al-Amirya-Al Mouilha,????????,33.14253103,43.95984551,IQ-G01,IQ-D002,,684,"4,104",684,,,,,,,,,,,,,,,,,,,329,,283,,,,,72,,,,,,684
26086,Anbar,Falluja,Al-Amirya-Albu Hamdan,?????????,33.19919984,43.92518402,IQ-G01,IQ-D002,,200,"1,200",200,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,200
26085,Anbar,Falluja,Al-Amirya-Albu Jaber,????????,33.15389978,44.00193739,IQ-G01,IQ-D002,,310,"1,860",310,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,310
26036,Anbar,Falluja,Al-Amirya-Albu Jasim,????????,33.17615708,43.90342899,IQ-G01,IQ-D002,,260,"1,560",260,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,260
26037,Anbar,Falluja,Al-Amirya-Albu Jwad,????????,33.14891935,43.99069786,IQ-G01,IQ-D002,,325,"1,950",325,,,,,,,,,,,,,,,,,,,,,325,,,,,,,,,,,325
26090,Anbar,Falluja,Al-Amirya-Albu Mrir,????????,33.19919994,43.92518412,IQ-G01,IQ-D002,,145,870,145,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,145
26088,Anbar,Falluja,Al-Amirya-Albu Saleh,????????,33.14723408,44.014266,IQ-G01,IQ-D002,,"1,355","8,130","1,355",,,,,,,,,,,,,,,,,,,212,,"1,050",,,,,93,,,,,,"1,355"
26087,Anbar,Falluja,Al-Amirya-Albu Salman,??????????,33.15389988,44.00193749,IQ-G01,IQ-D002,,650,"3,900",650,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,650
26093,Anbar,Falluja,Al-Amirya-Tal Ghatas,?? ????,33.18385386,43.92588698,IQ-G01,IQ-D002,,96,576,96,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,96
176,Anbar,Falluja,Al-andalus,?? ???????,33.3476,44,IQ-G01,IQ-D002,IQ-P00054,"2,473","14,838","2,473",,,,,,,,,,,,,,,,,,,"2,473",,,,,,,,,,,,,"2,473"
23801,Anbar,Falluja,Al-Azrakih,???????? ,33.360468,43.710402,IQ-G01,IQ-D002,IQ-P00056,58,348,58,,,,,,,,,,,,,,,,,,,8,,16,,,,34,,,43,,,15,
177,Anbar,Falluja,Al-bazara,?? ???????,33.3518,44,IQ-G01,IQ-D002,IQ-P00058,"2,497","14,982","2,497",,,,,,,,,,,,,,,,,,,"2,497",,,,,,,,,,,,,"2,497"
23803,Anbar,Falluja,Albo Abd Hasan,??????? ????? ,33.30411,43.703724,IQ-G01,IQ-D002,IQ-P00061,250,"1,500",250,,,,,,,,,,,,,,,,,,,237,,,,,,,13,,66,,,8,176
24771,Anbar,Falluja,Albo Aklah,????????,33.431215,43.894856,IQ-G01,IQ-D002,,98,588,98,,,,,,,,,,,,,,,,,,,80,,,,,,18,,,,,,98,
24770,Anbar,Falluja,Albo Akoll,?????????,33.417758,43.894772,IQ-G01,IQ-D002,,91,546,91,,,,,,,,,,,,,,,,,,,75,,,,,,16,,,,,,91,
24769,Anbar,Falluja,Albo Shbeel,????????,33.419188,43.8732,IQ-G01,IQ-D002,,79,474,79,,,,,,,,,,,,,,,,,,,58,,,,,,21,,,,,,79,
324,Anbar,Falluja,Albu Aifan,?????????,33.310021,43.742995,IQ-G01,IQ-D002,IQ-P00063,386,"2,316",386,,,,,,,,,,,,,,,,,,,278,,,,,11,62,35,,154,,,7,225
289,Anbar,Falluja,Albu Alwan,???? ?????????,33.333192,43.717154,IQ-G01,IQ-D002,IQ-P00064,275,"1,650",275,,,,,,,,,,,,,,,,,,,151,,,,,10,95,19,,275,,,,
26089,Anbar,Falluja,Albu Dhaher-Albu Dhaher,????????,33.18727216,43.90939903,IQ-G01,IQ-D002,,320,"1,920",320,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,320
325,Anbar,Falluja,Albu Hatem,????????,33.312843,43.729021,IQ-G01,IQ-D002,IQ-P00067,556,"3,336",556,,,,,,,,,,,,,,,,,,,427,,18,,,15,28,68,,158,,,8,390
23802,Anbar,Falluja,Albu Hawa,??????? ,33.210511,43.843657,IQ-G01,IQ-D002,IQ-P00068,299,"1,794",299,,,,,,,,,,,,,,,,,,,226,,,,,8,20,45,,154,,,10,135
21226,Anbar,Falluja,Albu Hori,????????,33.156752,43.891238,IQ-G01,IQ-D002,IQ-P00069,607,"3,642",607,,,,,,,,,,,,,,,,,,,512,,,,,5,20,70,,159,,,12,436
24107,Anbar,Falluja,Albu Jasim-Karma,???????? - ??????,33.411884,43.856551,IQ-G01,IQ-D002,IQ-P00072,198,"1,188",198,,,,,,,,,,,,,,,,,,,114,,9,,,13,30,32,,198,,,,
22134,Anbar,Falluja,Albu Khalifa,????????? ,33.437326,43.890464,IQ-G01,IQ-D002,IQ-P00074,268,"1,608",268,,,,,,,,,,,,,,,,,,,176,,8,,5,33,20,26,,261,,,7,
318,Anbar,Falluja,Albu Khanfar,???????? ,33.465647,43.908447,IQ-G01,IQ-D002,IQ-P00075,209,"1,254",209,,,,,,,,,,,,,,,,,,,155,,,,,10,10,34,,193,,,16,
21125,Anbar,Falluja,Albu Shbeeb,????????,33.406418,43.810406,IQ-G01,IQ-D002,IQ-P00078,126,756,126,,,,,,,,,,,,,,,,,,,104,,,,,,22,,,,,,126,
300,Anbar,Falluja,Albu Udah,????????,33.410513,43.861687,IQ-G01,IQ-D002,IQ-P00084,288,"1,728",288,,,,,,,,,,,,,,,,,,,165,,,,,31,40,52,,278,,,10,
180,Anbar,Falluja,Al-Ekhaa Compaund,???? ?????? ?????? ,33.16363,43.863435,IQ-G01,IQ-D002,IQ-P00088,"3,450","20,700","3,450",,,,,,,,,,,,,,,,,,,"1,002",,"1,745",,,240,320,143,,910,,,100,"2,440"
20899,Anbar,Falluja,Al-Falahat,???? ???????? ,33.244751,43.741096,IQ-G01,IQ-D002,IQ-P00089,163,978,163,,,,,,,,,,,,,,,,,,,107,,,,,4,32,20,,156,,,7,
21410,Anbar,Falluja,Al-Huraimat,???????? ,33.164126,43.882217,IQ-G01,IQ-D002,IQ-P00092,277,"1,662",277,,,,,,,,,,,,,,,,,,,242,,,,,,14,21,,40,,,14,223
173,Anbar,Falluja,Al-jamhuriya,?????????,33.3533,44,IQ-G01,IQ-D002,IQ-P00093,"4,240","25,440","4,240",,,,,,,,,,,,,,,,,,,"4,240",,,,,,,,,,,,,"4,240"
299,Anbar,Falluja,Al-Julan,???????,33.361091,44,IQ-G01,IQ-D002,IQ-P00094,"4,770","28,620","4,770",,,,,,,,,,,,,,,,,,,"4,770",,,,,,,,,,,,,"4,770"
313,Anbar,Falluja,Al-Karagul,???????? ,33.415488,43.938712,IQ-G01,IQ-D002,IQ-P00095,205,"1,230",205,,,,,,,,,,,,,,,,,,,135,,,,,15,22,33,,196,,,9,
20958,Anbar,Falluja,Al-Mejar,?????,33.189554,43.491903,IQ-G01,IQ-D002,IQ-P00097,198,"1,188",198,,,,,,,,,,,,,,,,,,,140,,,,12,,20,26,,88,,,8,102
178,Anbar,Falluja,Al-muatasem,?? ???????,33.3549,44,IQ-G01,IQ-D002,IQ-P00100,171,"1,026",171,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,171
20937,Anbar,Falluja,Al-Rufa,??????,33.392164,43.869339,IQ-G01,IQ-D002,IQ-P00105,85,510,85,,,,,,,,,,,,,,,,,,,68,,,,,,17,,,,,,85,
143,Anbar,Falluja,Al-shahabi-1,??????? ??????,33.386118,43.90437,IQ-G01,IQ-D002,IQ-P00106,155,930,155,,,,,,,,,,,,,,,,,,,98,,,,,10,20,27,,143,,,12,
142,Anbar,Falluja,Al-shahabi-2,??????? ??????? ,33.384628,43.876577,IQ-G01,IQ-D002,IQ-P00107,235,"1,410",235,,,,,,,,,,,,,,,,,,,147,,,,,27,32,29,,225,,,10,
291,Anbar,Falluja,Al-Shurtan,???????? ,33.403159,43.938962,IQ-G01,IQ-D002,IQ-P00110,153,918,153,,,,,,,,,,,,,,,,,,,112,,,,,4,20,17,,139,,,14,
148,Anbar,Falluja,Al-waheda,?? ??????,33.357406,44,IQ-G01,IQ-D002,IQ-P00112,326,"1,956",326,,,,,,,,,,,,,,,,,,,326,,,,,,,,,,,,,326
319,Anbar,Falluja,Al-Zuwayiah,???? ?????? ,33.339576,43.752778,IQ-G01,IQ-D002,IQ-P00114,224,"1,344",224,,,,,,,,,,,,,,,,,,,102,,,,,5,78,39,,224,,,,
126,Anbar,Falluja,Door Al Sikik Area,??? ?????,33.365057,44,IQ-G01,IQ-D002,IQ-P00121,"1,207","7,242","1,207",,,,,,,,,,,,,,,,,,,"1,207",,,,,,,,,,,,,"1,207"
24106,Anbar,Falluja,Halabsa-Al karma,???????? ??????,33.406428,43.923875,IQ-G01,IQ-D002,IQ-P00127,211,"1,266",211,,,,,,,,,,,,,,,,,,,140,,,,,10,20,41,,211,,,,
22706,Anbar,Falluja,Halabsa-Falluja,???? ???????? ,33.337484,43.701182,IQ-G01,IQ-D002,IQ-P00128,394,"2,364",394,,,,,,,,,,,,,,,,,,,162,,,,,27,159,46,,394,,,,
24108,Anbar,Falluja,Karma-Al Somod,??????,33.405246,43.910064,IQ-G01,IQ-D002,IQ-P00156,200,"1,200",200,,,,,,,,,,,,,,,,,,,200,,,,,,,,,200,,,,
47,Anbar,Falluja,Luhib,??????,33.399713,43.950953,IQ-G01,IQ-D002,IQ-P00157,345,"2,070",345,,,,,,,,,,,,,,,,,,,246,,,,,36,22,41,,336,,,9,
157,Anbar,Falluja,Muallimeen-2,?? ???????? ??????? ,33.363603,44,IQ-G01,IQ-D002,IQ-P00158,"1,249","7,494","1,249",,,,,,,,,,,,,,,,,,,"1,249",,,,,,,,,,,,,"1,249"
22523,Anbar,Falluja,Mujamma Al Therthar Al Sakani,???? ??????? ??????,33.369404,43.749764,IQ-G01,IQ-D002,IQ-P00161,175,"1,050",175,,,,,,,,,,,,,,,,,,,175,,,,,,,,,175,,,,
121,Anbar,Falluja,Nazal,?? ????,33.34,44,IQ-G01,IQ-D002,IQ-P00163,765,"4,590",765,,,,,,,,,,,,,,,,,,,765,,,,,,,,,,,,,765
179,Anbar,Falluja,Neeamiya,???????? ,33.302,43.806985,IQ-G01,IQ-D002,IQ-P00164,460,"2,760",460,,,,,,,,,,,,,,,,,,,349,,,,5,36,55,15,,460,,,,
315,Anbar,Falluja,Qaryat Albu Hadid Al-Nasir,???????? ?????? ,33.391424,43.832223,IQ-G01,IQ-D002,IQ-P00166,169,"1,014",169,,,,,,,,,,,,,,,,,,,112,,,,,4,30,23,,169,,,,
323,Anbar,Falluja,Qaryat Al-Jaffa,????? ,33.304321,43.680362,IQ-G01,IQ-D002,IQ-P00168,201,"1,206",201,,,,,,,,,,,,,,,,,,,148,,,,,,18,35,,79,,,8,114
146,Anbar,Falluja,subihat,???????? ,33.384226,43.919305,IQ-G01,IQ-D002,IQ-P00175,128,768,128,,,,,,,,,,,,,,,,,,,78,,10,,,,25,15,,120,,,8,
24112,Anbar,Haditha,Al Furat Complex,???? ??????,34.184598,42.365262,IQ-G01,IQ-D003,IQ-P00178,320,"1,920",320,,,,,,,,,,,,,,,,,,,107,,25,,6,60,16,106,,320,,,,
